,process,discrete_steps
0,DoE1_R1,0.0
1,DoE1_R1,0.0
2,DoE1_R1,0.0
3,DoE1_R1,0.0
4,DoE1_R1,2.035277777777779
5,DoE1_R1,4.052777777777777
6,DoE1_R1,6.144444444444446
7,DoE1_R1,8.169722222222223
8,DoE1_R1,9.219444444444443
9,DoE1_R1,10.219444444444452
10,DoE1_R1,10.386388888888892
11,DoE1_R1,11.719722222222227
12,DoE1_R2,0.0
13,DoE1_R2,0.0
14,DoE1_R2,0.0
15,DoE1_R2,0.0
16,DoE1_R2,0.0
17,DoE1_R2,0.0
18,DoE1_R2,0.0
19,DoE1_R2,2.1283333333333374
20,DoE1_R2,4.145833333333336
21,DoE1_R2,6.179166666666667
22,DoE1_R2,8.212500000000006
23,DoE1_R2,10.245833333333335
24,DoE1_R3,0.0
25,DoE1_R3,0.0
26,DoE1_R3,0.0
27,DoE1_R3,0.0
28,DoE1_R3,0.0
29,DoE1_R3,0.0
30,DoE1_R3,0.0
31,DoE1_R3,2.2694444444444457
32,DoE1_R3,4.287222222222223
33,DoE1_R3,6.320555555555558
34,DoE1_R3,8.32888888888889
35,DoE1_R3,10.345555555555553
36,DoE1_R4,0.0
37,DoE1_R4,0.0
38,DoE1_R4,0.0
39,DoE1_R4,0.0
40,DoE1_R4,0.0
41,DoE1_R4,0.0
42,DoE1_R4,2.2886111111111163
43,DoE1_R4,4.265000000000004
44,DoE1_R4,6.315000000000005
45,DoE1_R4,8.348333333333336
46,DoE1_R4,8.406666666666666
47,DoE1_R4,10.381666666666668
48,DoE2_R1,0.0
49,DoE2_R1,0.0
50,DoE2_R1,0.0
51,DoE2_R1,2.1666666666670054
52,DoE2_R1,4.083333333333972
53,DoE2_R1,6.083333333334284
54,DoE2_R1,8.125000000001272
55,DoE2_R1,9.283333333334788
56,DoE2_R1,9.858333333334876
57,DoE2_R1,10.108333333334912
58,DoE2_R1,11.27500000000176
59,DoE2_R1,11.625000000001812
60,DoE2_R2,0.0
61,DoE2_R2,0.0
62,DoE2_R2,0.0
63,DoE2_R2,0.0
64,DoE2_R2,0.0
65,DoE2_R2,0.0
66,DoE2_R2,0.0
67,DoE2_R2,2.133333333333667
68,DoE2_R2,4.066666666667302
69,DoE2_R2,6.066666666667604
70,DoE2_R2,8.100000000001252
71,DoE2_R2,10.083333333334885
72,DoE2_R3,0.0
73,DoE2_R3,0.0
74,DoE2_R3,0.0
75,DoE2_R3,0.0
76,DoE2_R3,0.0
77,DoE2_R3,0.0
78,DoE2_R3,0.0
79,DoE2_R3,2.0919444444447706
80,DoE2_R3,4.033333333333957
81,DoE2_R3,6.033333333334248
82,DoE2_R3,8.066666666667835
83,DoE2_R3,10.041666666668078
84,DoE2_R4,0.0
85,DoE2_R4,0.0
86,DoE2_R4,0.0
87,DoE2_R4,0.0
88,DoE2_R4,0.0
89,DoE2_R4,0.0
90,DoE2_R4,0.0
91,DoE2_R4,2.116666666666955
92,DoE2_R4,4.058333333333955
93,DoE2_R4,6.066666666667555
94,DoE2_R4,8.091666666667955
95,DoE2_R4,10.066666666668254
96,DoE3_R1,0.0
97,DoE3_R1,0.0
98,DoE3_R1,0.0
99,DoE3_R1,0.0
100,DoE3_R1,0.0
101,DoE3_R1,0.0
102,DoE3_R1,0.0
103,DoE3_R1,1.7750000000000057
104,DoE3_R1,3.758333333333333
105,DoE3_R1,5.766666666666673
106,DoE3_R1,7.766666666666669
107,DoE3_R1,9.800000000000004
108,DoE3_R2,0.0
109,DoE3_R2,0.0
110,DoE3_R2,0.0
111,DoE3_R2,2.200277777777778
112,DoE3_R2,4.19166666666667
113,DoE3_R2,6.200277777777778
114,DoE3_R2,8.200277777777778
115,DoE3_R2,9.01694444444444
116,DoE3_R2,9.591944444444444
117,DoE3_R2,10.225277777777777
118,DoE3_R2,11.133611111111108
119,DoE3_R2,11.60861111111111
120,DoE3_R3,0.0
121,DoE3_R3,0.0
122,DoE3_R3,0.0
123,DoE3_R3,0.0
124,DoE3_R3,0.0
125,DoE3_R3,0.0
126,DoE3_R3,0.0
127,DoE3_R3,2.2002777777777744
128,DoE3_R3,4.18333333333333
129,DoE3_R3,6.191944444444442
130,DoE3_R3,8.191944444444445
131,DoE3_R3,10.225277777777777
132,DoE3_R4,0.0
133,DoE3_R4,0.0
134,DoE3_R4,0.0
135,DoE3_R4,0.0
136,DoE3_R4,0.0
137,DoE3_R4,0.0
138,DoE3_R4,0.0
139,DoE3_R4,2.091666666666669
140,DoE3_R4,4.074999999999999
141,DoE3_R4,6.083333333333336
142,DoE3_R4,8.083333333333336
143,DoE3_R4,10.116666666666667
144,VAL_R1,0.0
145,VAL_R1,0.0
146,VAL_R1,0.0
147,VAL_R1,0.0
148,VAL_R1,0.0
149,VAL_R1,2.4830000000000005
150,VAL_R1,4.4830000000000005
151,VAL_R1,6.4830000000000005
152,VAL_R1,8.565999999999999
153,VAL_R1,10.483
154,VAL_R1,10.8
155,VAL_R1,11.932999999999996
156,VAL_R2,0.0
157,VAL_R2,0.0
158,VAL_R2,0.0
159,VAL_R2,0.0
160,VAL_R2,0.0
161,VAL_R2,0.0
162,VAL_R2,2.4830000000000005
163,VAL_R2,4.4830000000000005
164,VAL_R2,6.4830000000000005
165,VAL_R2,8.565999999999999
166,VAL_R2,10.483
167,VAL_R2,11.95
168,VAL_R3,0.0
169,VAL_R3,0.0
170,VAL_R3,0.0
171,VAL_R3,0.0
172,VAL_R3,0.0
173,VAL_R3,2.4830000000000005
174,VAL_R3,4.4830000000000005
175,VAL_R3,6.4830000000000005
176,VAL_R3,8.565999999999999
177,VAL_R3,10.483
178,VAL_R3,11.95
179,VAL_R3,11.983
